"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",82543778
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",14276159
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",25165007
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",7913336847
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",36370123
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",63068588
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",44672055
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",10385327
"AKNN","AUKING MINING LIMITED","2007-10-29","Materials",10385327
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",14973855
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",538099931
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",13992630
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",8085756
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",22774398
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",5720000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",177529667
"ALD","AMPOL LIMITED","1980-12-31","Energy",8173761996
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",578045749
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",392032780
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",601539254
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",22586393707
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",17007862
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",28102203
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5930301077
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",6920702
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",3570699996
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",17115124
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",6655586488
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",26686074
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",18810022
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",230047960
"AMC","AMCOR PLC","1969-08-28","Materials",27440519997
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",5471795
"AME","ALTO METALS LIMITED","2012-12-20","Materials",44355151
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",359453439
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",426784478
"AML","AEON METALS LIMITED.","2007-06-14","Materials",35824838
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",13520000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",155170342
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",28363420
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",3723360672
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",64481960
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",18802657
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",33512000
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",7956767
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",148297043
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",133797395
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",34940162
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3435014895
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",131229675
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",70223368
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",4495404
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",13766787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",34036394
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",70634953519
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",3930324
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",7208715
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",364931230
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",36788471
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",31071955
"APA","APA GROUP","2000-06-13","Utilities",13686768637
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",50119734
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",2836541490
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2889123130
"APS","ALLUP SILICA LIMITED","2022-05-02","Materials",10563958
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",49063391
"APX","APPEN LIMITED","2015-01-07","Software & Services",813100534
"APZ","ASPEN GROUP","1991-04-11","Real Estate",216330822
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",7825146
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",16502984
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",30697089
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",24000000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",27771158
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",8497573
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",644546135
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",164094855
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",48850564
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",40889497
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",136388440
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",2499875796
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",18346575
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",19420066
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",12621717
"ARF","ARENA REIT.","2013-06-13","Real Estate",1480314565
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",7043743029
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",196047127
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",22323058
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",16468344
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",135253678
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",164433524
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",604662759
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",47203253
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",270752124
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",31507097
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",26777218
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",705623400
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",376875000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",96463856
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",752367129
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",118209919
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",158711986
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",48431346
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",21579509
"ASR","ASRA MINERALS LIMITED","1986-06-30","Materials",49579105
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",44483788
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",15692823832
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",49667516
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",143393571
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",99731485
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",38509993
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",102382999
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials","N/A"
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",18826357
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",63075695
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",71830892
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",7950736
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",29698799
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",23262480
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",17143064
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",8400000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1715141089
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",113650574
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",4050000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",20057614
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1241472723
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",6171575
"AUN","AURUMIN LIMITED","2020-12-09","Materials",26455680
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",44442042
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",15252031
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",105432411
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",58098289
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",38279332
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",51022269
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",73034519
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",54951269
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",29405000
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",178110133
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",197772979
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",203115364
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",197894258
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",210839710
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",10593950
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials","N/A"
"AW1","AMERICAN WEST METALS LIMITED","2021-12-13","Materials",25789600
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4860316373
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",7074409
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",19475225
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",734229399
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",10011438
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",180943061
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",29424529
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",34873084
"AYA","ARTRYA LIMITED","2021-11-26","Health Care Equipment & Services",64163024
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",12898042
"AYT","AUSTIN METALS LIMITED","2011-07-06","Materials",16253994
"AZI","ALTAMIN LIMITED","2009-12-24","Materials",37996525
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",7491665207
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",334907882
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",88559680
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",135007455
"B4P","BEFOREPAY GROUP LIMITED","2022-01-17","Diversified Financials",19044206
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2060233875
"BAS","BASS OIL LIMITED","2004-09-30","Energy",8394741
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",18779717
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",134160108
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",104903476
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",558973292
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",115063048
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",41401933
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",78730407
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",13693074
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",539679858
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",23333919
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",446294193
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",380489517
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",114700158
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",17358350
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",12352972
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",59774441
"BDT","BIRDDOG TECHNOLOGY LIMITED","2021-12-20","Technology Hardware & Equipment",43992308
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",18669940
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco","N/A"
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",6318617
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",27514241
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5831909772
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",447212872
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",11984804
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",14947458
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",59602159
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",394515056
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2322100412
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1434530624
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",36879511
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",845774097
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",1077604636
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",26554998
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",6159586
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",234031201074
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",22420884
"BIM","BINDI METALS LIMITED",,"Materials",0
"BIO","BIOME AUSTRALIA LIMITED","2021-11-30","Household & Personal Products",18991436
"BIQ","BUILDINGIQ INC","2015-12-17","Software & Services","N/A"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",3328723
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",76989987
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",65981675
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",51509737
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1270657621
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1348861284
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",200324367
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3258623485
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",156028850
"BLD","BORAL LIMITED.","2000-02-21","Materials",3309265257
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",33145146
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",116144332
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",448876026
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",725005014
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",9652723
"BME","BLACK MOUNTAIN ENERGY LTD","2021-12-23","Energy",34425000
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",14399625
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",26054056
"BML","BOAB METALS LIMITED","2004-07-15","Materials",48350461
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",12433500
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",275221189
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",14429273
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",25905157
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",80598012
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",47585102
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",83907746
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",52216241
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",64408681
